"","x","freq"
"1","AD_ast_high",25
"2","AD_ast_low",571
"3","AD_ast_mid",68
"4","AD_end_high",3
"5","AD_end_low",43
"6","AD_end_mid",7
"7","AD_hybrid_high",15
"8","AD_hybrid_low",951
"9","AD_hybrid_mid",43
"10","AD_mic_high",1
"11","AD_mic_low",255
"12","AD_mic_mid",4
"13","AD_neu_high",18
"14","AD_neu_low",324
"15","AD_neu_mid",217
"16","AD_no_id_high",5
"17","AD_no_id_low",536
"18","AD_no_id_mid",21
"19","AD_oli_high",32
"20","AD_oli_low",3592
"21","AD_oli_mid",194
"22","AD_opc_high",46
"23","AD_opc_low",290
"24","AD_opc_mid",72
"25","ct_ast_high",263
"26","ct_ast_low",1110
"27","ct_ast_mid",368
"28","ct_end_high",8
"29","ct_end_low",52
"30","ct_end_mid",15
"31","ct_hybrid_high",38
"32","ct_hybrid_low",276
"33","ct_hybrid_mid",47
"34","ct_mic_high",10
"35","ct_mic_low",271
"36","ct_mic_mid",37
"37","ct_neu_high",199
"38","ct_neu_low",116
"39","ct_neu_mid",368
"40","ct_no_id_high",24
"41","ct_no_id_low",221
"42","ct_no_id_mid",52
"43","ct_oli_high",58
"44","ct_oli_low",2197
"45","ct_oli_mid",248
"46","ct_opc_high",248
"47","ct_opc_low",409
"48","ct_opc_mid",311
