tissue,no.np,no.np.age.up,no.np.age.down,sumNP_mean
Brain_Frontal_Cortex_BA9,108,1,25,293.1194009
Brain_Anterior_cingulate_cortex_BA24,110,0,16,268.4407536
Brain_Hippocampus,106,0,28,248.3519491
Brain_Amygdala,107,0,16,246.4813111
Brain_Hypothalamus,118,5,5,336.2261353
Brain_Nucleus_accumbens_basal_ganglia,105,0,0,256.1754072
Brain_Putamen_basal_ganglia,103,0,0,230.9330355
Brain_Caudate_basal_ganglia,105,0,1,245.328422
Brain_Substantia_nigra,108,0,5,223.2671963
Brain_Cerebellar_Hemisphere,108,2,1,263.8897598
Brain_Cerebellum,109,1,11,267.6968697
