"Test_Name"	"n_NPcoexp"	"P_Value"	"Chi_Squared"	"Significance"
"X-squared"	"ct_vs_mci"	0	9.66637344106831e-24	100.901695990246	"*"
"X-squared1"	"ct_vs_ad"	0	6.81208658526311e-36	156.431939067993	"*"
"X-squared2"	"mci_vs_ad"	0	0.105354425188246	2.62255881511746	""
"X-squared3"	"ct_vs_mci"	1	2.56509132210888e-39	172.106496377516	"*"
"X-squared4"	"ct_vs_ad"	1	4.36532350223056e-59	262.727415278289	"*"
"X-squared5"	"mci_vs_ad"	1	0.0793042514493924	3.0791030187038	""
"X-squared6"	"ct_vs_mci"	2	7.98288455845584e-32	137.819064404964	"*"
"X-squared7"	"ct_vs_ad"	2	2.25712088819308e-82	369.626325114492	"*"
"X-squared8"	"mci_vs_ad"	2	2.26915529541489e-10	40.2199804556731	"*"
"X-squared9"	"ct_vs_mci"	3	3.92735935869159e-08	30.1849965125581	"*"
"X-squared10"	"ct_vs_ad"	3	2.05849929165132e-14	58.475389050943	"*"
"X-squared11"	"mci_vs_ad"	3	0.142191417169687	2.15408186824195	""
"X-squared12"	"ct_vs_mci"	4	0.100650936013589	2.69519877420853	""
"X-squared13"	"ct_vs_ad"	4	0.143916502611109	2.13557485344937	""
"X-squared14"	"mci_vs_ad"	4	0.999999999998621	2.98822740721022e-24	""
